FIPS,County name,State,Pop. 1990,Pop. 2000,Pop. 2010,Pop. 2018,Change 2010-2018,Change 2000-2018,Change 1990-2018
48435,Sutton County,Texas,"4,135","4,073","4,128","3,758",-9.00%,-8.38%,-10.03%
48437,Swisher County,Texas,"8,133","8,369","7,859","7,462",-5.10%,-12.15%,-8.99%
48439,Tarrant County,Texas,"1,170,103","1,449,290","1,810,655","2,084,931",15.10%,30.49%,43.88%
48441,Taylor County,Texas,"119,655","126,606","131,508","137,640",4.70%,8.02%,13.07%
48443,Terrell County,Texas,"1,410","1,081",984,823,-16.40%,-31.35%,-71.32%
48445,Terry County,Texas,"13,218","12,757","12,651","12,287",-2.90%,-3.83%,-7.58%
48447,Throckmorton County,Texas,"1,880","1,847","1,641","1,515",-7.70%,-21.91%,-24.09%
48449,Titus County,Texas,"24,009","28,118","32,334","33,033",2.20%,14.88%,27.32%
48451,Tom Green County,Texas,"98,458","104,015","110,228","118,189",7.20%,11.99%,16.69%
48453,Travis County,Texas,"576,407","811,776","1,024,462","1,248,743",21.90%,34.99%,53.84%
48455,Trinity County,Texas,"11,445","13,748","14,675","14,740",0.40%,6.73%,22.35%
48457,Tyler County,Texas,"16,646","20,842","21,760","21,696",-0.30%,3.94%,23.28%
48459,Upshur County,Texas,"31,370","35,308","39,315","41,260",4.90%,14.43%,23.97%
48461,Upton County,Texas,"4,447","3,408","3,349","3,671",9.60%,7.16%,-21.14%
48463,Uvalde County,Texas,"23,340","25,919","26,405","26,846",1.70%,3.45%,13.06%
48465,Val Verde County,Texas,"38,721","44,834","48,879","49,208",0.70%,8.89%,21.31%
48467,Van Zandt County,Texas,"37,944","48,129","52,560","56,019",6.60%,14.08%,32.27%
48469,Victoria County,Texas,"74,361","84,077","86,793","92,035",6.00%,8.65%,19.20%
48471,Walker County,Texas,"50,917","61,757","67,861","72,480",6.80%,14.79%,29.75%
48473,Waller County,Texas,"23,374","32,545","43,277","53,126",22.80%,38.74%,56.00%
48475,Ward County,Texas,"13,115","10,909","10,658","11,720",10.00%,6.92%,-11.90%
48477,Washington County,Texas,"26,154","30,412","33,695","35,108",4.20%,13.38%,25.50%
48479,Webb County,Texas,"133,239","193,124","250,304","275,910",10.20%,30.00%,51.71%
48481,Wharton County,Texas,"39,955","41,191","41,280","41,619",0.80%,1.03%,4.00%
48483,Wheeler County,Texas,"5,879","5,289","5,406","5,191",-4.00%,-1.89%,-13.25%
48485,Wichita County,Texas,"122,378","131,695","131,665","132,064",0.30%,0.28%,7.33%
48487,Wilbarger County,Texas,"15,121","14,679","13,535","12,820",-5.30%,-14.50%,-17.95%
48489,Willacy County,Texas,"17,705","20,079","22,136","21,515",-2.80%,6.67%,17.71%
48491,Williamson County,Texas,"139,551","250,466","422,501","566,719",34.10%,55.80%,75.38%
48493,Wilson County,Texas,"22,650","32,401","42,913","50,224",17.00%,35.49%,54.90%
48495,Winkler County,Texas,"8,626","7,173","7,110","7,720",8.60%,7.09%,-11.74%
48497,Wise County,Texas,"34,679","48,789","59,100","68,305",15.60%,28.57%,49.23%
48499,Wood County,Texas,"29,380","36,729","41,959","45,129",7.60%,18.61%,34.90%
48501,Yoakum County,Texas,"8,786","7,325","7,879","8,591",9.00%,14.74%,-2.27%
48503,Young County,Texas,"18,126","17,872","18,550","18,045",-2.70%,0.96%,-0.45%
48505,Zapata County,Texas,"9,279","12,081","14,018","14,190",1.20%,14.86%,34.61%
48507,Zavala County,Texas,"12,162","11,645","11,677","11,983",2.60%,2.82%,-1.49%
47001,Anderson County,Tennessee,"68,250","71,470","75,089","76,482",1.90%,6.55%,10.76%
47003,Bedford County,Tennessee,"30,411","37,608","45,057","49,038",8.80%,23.31%,37.98%
47005,Benton County,Tennessee,"14,524","16,534","16,491","16,184",-1.90%,-2.16%,10.26%
47007,Bledsoe County,Tennessee,"9,669","12,349","12,874","14,755",14.60%,16.31%,34.47%
47009,Blount County,Tennessee,"85,962","105,824","123,098","131,349",6.70%,19.43%,34.55%
47011,Bradley County,Tennessee,"73,712","87,973","98,930","106,727",7.90%,17.57%,30.93%
47013,Campbell County,Tennessee,"35,079","39,839","40,723","39,583",-2.80%,-0.65%,11.38%
47015,Cannon County,Tennessee,"10,467","12,836","13,813","14,462",4.70%,11.24%,27.62%
47017,Carroll County,Tennessee,"27,514","29,446","28,486","28,020",-1.60%,-5.09%,1.81%
47019,Carter County,Tennessee,"51,505","56,731","57,388","56,351",-1.80%,-0.67%,8.60%
47021,Cheatham County,Tennessee,"27,140","35,843","39,106","40,439",3.40%,11.37%,32.89%
47023,Chester County,Tennessee,"12,819","15,540","17,145","17,276",0.80%,10.05%,25.80%
47025,Claiborne County,Tennessee,"26,137","29,861","32,212","31,756",-1.40%,5.97%,17.69%
47027,Clay County,Tennessee,"7,238","7,960","7,858","7,717",-1.80%,-3.15%,6.21%
47029,Cocke County,Tennessee,"29,141","33,548","35,642","35,774",0.40%,6.22%,18.54%
47031,Coffee County,Tennessee,"40,343","48,052","52,803","55,700",5.50%,13.73%,27.57%
47033,Crockett County,Tennessee,"13,378","14,529","14,576","14,328",-1.70%,-1.40%,6.63%
47035,Cumberland County,Tennessee,"34,736","46,781","56,062","59,673",6.40%,21.60%,41.79%
47037,Davidson County,Tennessee,"510,786","569,927","626,560","692,587",10.50%,17.71%,26.25%
47039,Decatur County,Tennessee,"10,472","11,711","11,750","11,706",-0.40%,-0.04%,10.54%
47041,DeKalb County,Tennessee,"14,360","17,413","18,717","20,138",7.60%,13.53%,28.69%
47043,Dickson County,Tennessee,"35,061","43,152","49,650","53,446",7.60%,19.26%,34.40%
47045,Dyer County,Tennessee,"34,854","37,284","38,330","37,320",-2.60%,0.10%,6.61%
47047,Fayette County,Tennessee,"25,559","28,799","38,439","40,507",5.40%,28.90%,36.90%
47049,Fentress County,Tennessee,"14,669","16,615","17,960","18,217",1.40%,8.79%,19.48%
47051,Franklin County,Tennessee,"34,923","39,258","41,064","41,890",2.00%,6.28%,16.63%
47053,Gibson County,Tennessee,"46,315","48,092","49,687","49,045",-1.30%,1.94%,5.57%
47055,Giles County,Tennessee,"25,741","29,433","29,483","29,503",0.10%,0.24%,12.75%
47057,Grainger County,Tennessee,"17,095","20,610","22,656","23,145",2.20%,10.95%,26.14%
47059,Greene County,Tennessee,"55,832","62,911","68,825","69,087",0.40%,8.94%,19.19%
47061,Grundy County,Tennessee,"13,362","14,322","13,726","13,346",-2.80%,-7.31%,-0.12%
47063,Hamblen County,Tennessee,"50,480","58,136","62,531","64,569",3.30%,9.96%,21.82%
47065,Hamilton County,Tennessee,"285,536","308,115","336,486","364,286",8.30%,15.42%,21.62%
47067,Hancock County,Tennessee,"6,739","6,776","6,815","6,549",-3.90%,-3.47%,-2.90%
47069,Hardeman County,Tennessee,"23,377","28,108","27,247","25,220",-7.40%,-11.45%,7.31%
47071,Hardin County,Tennessee,"22,633","25,589","26,012","25,776",-0.90%,0.73%,12.19%
47073,Hawkins County,Tennessee,"44,565","53,582","56,829","56,530",-0.50%,5.21%,21.17%
47075,Haywood County,Tennessee,"19,437","19,790","18,807","17,335",-7.80%,-14.16%,-12.13%
47077,Henderson County,Tennessee,"21,844","25,526","27,780","27,847",0.20%,8.33%,21.56%
47079,Henry County,Tennessee,"27,888","31,112","32,349","32,358",0.00%,3.85%,13.81%
47081,Hickman County,Tennessee,"16,754","22,311","24,690","25,063",1.50%,10.98%,33.15%
47083,Houston County,Tennessee,"7,018","8,079","8,429","8,263",-2.00%,2.23%,15.07%
47085,Humphreys County,Tennessee,"15,813","17,932","18,535","18,486",-0.30%,3.00%,14.46%
47087,Jackson County,Tennessee,"9,297","10,987","11,632","11,758",1.10%,6.56%,20.93%
47089,Jefferson County,Tennessee,"33,016","44,308","51,668","54,012",4.50%,17.97%,38.87%
47091,Johnson County,Tennessee,"13,766","17,513","18,240","17,778",-2.50%,1.49%,22.57%
47093,Knox County,Tennessee,"335,749","381,884","432,269","465,289",7.60%,17.93%,27.84%
47095,Lake County,Tennessee,"7,129","7,951","7,832","7,411",-5.40%,-7.29%,3.81%
47097,Lauderdale County,Tennessee,"23,491","27,134","27,822","25,825",-7.20%,-5.07%,9.04%
47099,Lawrence County,Tennessee,"35,303","39,910","41,851","43,734",4.50%,8.74%,19.28%
47101,Lewis County,Tennessee,"9,247","11,389","12,171","12,086",-0.70%,5.77%,23.49%
47103,Lincoln County,Tennessee,"28,157","31,346","33,354","34,117",2.30%,8.12%,17.47%
47105,Loudon County,Tennessee,"31,255","39,086","48,550","53,054",9.30%,26.33%,41.09%
47107,McMinn County,Tennessee,"42,383","49,011","52,279","53,285",1.90%,8.02%,20.46%
47109,McNairy County,Tennessee,"22,422","24,644","26,077","25,832",-0.90%,4.60%,13.20%
47111,Macon County,Tennessee,"15,906","20,407","22,226","24,265",9.20%,15.90%,34.45%
47113,Madison County,Tennessee,"77,982","91,900","98,301","97,605",-0.70%,5.84%,20.10%
47115,Marion County,Tennessee,"24,683","27,765","28,222","28,575",1.30%,2.83%,13.62%
47117,Marshall County,Tennessee,"21,539","26,761","30,608","33,683",10.00%,20.55%,36.05%
47119,Maury County,Tennessee,"54,812","69,542","80,932","94,340",16.60%,26.29%,41.90%
47121,Meigs County,Tennessee,"8,033","11,052","11,768","12,306",4.60%,10.19%,34.72%
47123,Monroe County,Tennessee,"30,541","38,969","44,504","46,357",4.20%,15.94%,34.12%
47125,Montgomery County,Tennessee,"100,498","134,725","172,363","205,950",19.50%,34.58%,51.20%
47127,Moore County,Tennessee,"4,696","5,698","6,342","6,411",1.10%,11.12%,26.75%
47129,Morgan County,Tennessee,"17,300","19,754","21,986","21,579",-1.90%,8.46%,19.83%
47131,Obion County,Tennessee,"31,717","32,470","31,807","30,267",-4.80%,-7.28%,-4.79%
47133,Overton County,Tennessee,"17,636","20,124","22,080","22,068",-0.10%,8.81%,20.08%
47135,Perry County,Tennessee,"6,612","7,608","7,928","8,064",1.70%,5.65%,18.01%
47137,Pickett County,Tennessee,"4,548","4,941","5,083","5,082",0.00%,2.77%,10.51%
47139,Polk County,Tennessee,"13,643","16,039","16,824","16,898",0.40%,5.08%,19.26%
47141,Putnam County,Tennessee,"51,373","62,315","72,349","78,843",9.00%,20.96%,34.84%
47143,Rhea County,Tennessee,"24,344","28,398","31,800","33,044",3.90%,14.06%,26.33%
47145,Roane County,Tennessee,"47,227","51,921","54,199","53,140",-2.00%,2.29%,11.13%
47147,Robertson County,Tennessee,"41,492","54,430","66,332","71,012",7.10%,23.35%,41.57%
47149,Rutherford County,Tennessee,"118,570","182,029","262,582","324,890",23.70%,43.97%,63.50%
47151,Scott County,Tennessee,"18,358","21,129","22,232","22,039",-0.90%,4.13%,16.70%
47153,Sequatchie County,Tennessee,"8,863","11,262","14,121","14,876",5.30%,24.29%,40.42%
47155,Sevier County,Tennessee,"51,050","71,200","89,719","97,892",9.10%,27.27%,47.85%
47157,Shelby County,Tennessee,"826,330","897,466","927,682","935,764",0.90%,4.09%,11.69%
47159,Smith County,Tennessee,"14,143","17,708","19,149","19,942",4.10%,11.20%,29.08%
47161,Stewart County,Tennessee,"9,479","12,369","13,313","13,561",1.90%,8.79%,30.10%
47163,Sullivan County,Tennessee,"143,596","153,089","156,800","157,668",0.60%,2.90%,8.93%
47165,Sumner County,Tennessee,"103,281","130,528","160,634","187,149",16.50%,30.25%,44.81%
47167,Tipton County,Tennessee,"37,568","51,309","61,006","61,581",0.90%,16.68%,38.99%
47169,Trousdale County,Tennessee,"5,920","7,256","7,864","11,012",40.00%,34.11%,46.24%
47171,Unicoi County,Tennessee,"16,549","17,666","18,311","17,761",-3.00%,0.53%,6.82%
47173,Union County,Tennessee,"13,694","17,843","19,107","19,688",3.00%,9.37%,30.44%
47175,Van Buren County,Tennessee,"4,846","5,505","5,558","5,765",3.70%,4.51%,15.94%
47177,Warren County,Tennessee,"32,992","38,275","39,824","40,878",2.60%,6.37%,19.29%
47179,Washington County,Tennessee,"92,336","107,188","123,058","128,607",4.50%,16.65%,28.20%
47181,Wayne County,Tennessee,"13,935","16,817","17,027","16,558",-2.80%,-1.56%,15.84%
47183,Weakley County,Tennessee,"31,972","34,917","35,015","33,415",-4.60%,-4.49%,4.32%
47185,White County,Tennessee,"20,090","23,139","25,837","27,107",4.90%,14.64%,25.89%
47187,Williamson County,Tennessee,"81,021","126,649","183,265","231,729",26.40%,45.35%,65.04%
47189,Wilson County,Tennessee,"67,675","88,794","114,073","140,625",23.30%,36.86%,51.88%
45001,Abbeville County,South Carolina,"23,862","26,153","25,399","24,541",-3.40%,-6.57%,2.77%
45003,Aiken County,South Carolina,"120,991","142,556","160,114","169,401",5.80%,15.85%,28.58%
45005,Allendale County,South Carolina,"11,727","11,199","10,419","8,903",-14.60%,-25.79%,-31.72%
45007,Anderson County,South Carolina,"145,177","165,734","186,943","200,482",7.20%,17.33%,27.59%
45009,Bamberg County,South Carolina,"16,902","16,704","15,972","14,275",-10.60%,-17.02%,-18.40%
45011,Barnwell County,South Carolina,"20,293","23,491","22,621","21,112",-6.70%,-11.27%,3.88%
45013,Beaufort County,South Carolina,"86,425","120,931","162,231","188,715",16.30%,35.92%,54.20%
45015,Berkeley County,South Carolina,"128,658","142,747","178,316","221,091",24.00%,35.44%,41.81%
45017,Calhoun County,South Carolina,"12,753","15,132","15,176","14,520",-4.30%,-4.21%,12.17%
45019,Charleston County,South Carolina,"295,159","309,921","350,150","405,905",15.90%,23.65%,27.28%
45021,Cherokee County,South Carolina,"44,506","52,532","55,488","57,078",2.90%,7.96%,22.03%
45023,Chester County,South Carolina,"32,170","34,112","33,147","32,251",-2.70%,-5.77%,0.25%
45025,Chesterfield County,South Carolina,"38,575","42,765","46,729","45,754",-2.10%,6.53%,15.69%
45027,Clarendon County,South Carolina,"28,450","32,460","34,951","33,700",-3.60%,3.68%,15.58%
45029,Colleton County,South Carolina,"34,377","38,259","38,893","37,660",-3.20%,-1.59%,8.72%
45031,Darlington County,South Carolina,"61,851","67,444","68,609","66,802",-2.60%,-0.96%,7.41%
45033,Dillon County,South Carolina,"29,114","30,735","32,059","30,599",-4.60%,-0.44%,4.85%
45035,Dorchester County,South Carolina,"83,060","96,353","136,173","160,647",18.00%,40.02%,48.30%
45037,Edgefield County,South Carolina,"18,360","24,588","26,975","27,052",0.30%,9.11%,32.13%
45039,Fairfield County,South Carolina,"22,295","23,388","23,960","22,402",-6.50%,-4.40%,0.48%
45041,Florence County,South Carolina,"114,344","125,709","136,962","138,159",0.90%,9.01%,17.24%
45043,Georgetown County,South Carolina,"46,302","55,823","60,328","62,249",3.20%,10.32%,25.62%
45045,Greenville County,South Carolina,"320,127","379,648","451,184","514,213",14.00%,26.17%,37.74%
45047,Greenwood County,South Carolina,"59,567","66,309","69,711","70,741",1.50%,6.27%,15.80%
45049,Hampton County,South Carolina,"18,186","21,373","21,090","19,351",-8.20%,-10.45%,6.02%
45051,Horry County,South Carolina,"144,053","196,558","269,126","344,147",27.90%,42.89%,58.14%
45053,Jasper County,South Carolina,"15,487","20,672","24,779","28,971",16.90%,28.65%,46.54%
45055,Kershaw County,South Carolina,"43,599","52,649","61,592","65,592",6.50%,19.73%,33.53%
45057,Lancaster County,South Carolina,"54,516","61,404","76,653","95,380",24.40%,35.62%,42.84%
45059,Laurens County,South Carolina,"58,132","69,407","66,535","66,994",0.70%,-3.60%,13.23%
45061,Lee County,South Carolina,"18,437","20,089","19,213","17,142",-10.80%,-17.19%,-7.55%
45063,Lexington County,South Carolina,"167,526","216,031","262,429","295,032",12.40%,26.78%,43.22%
45065,McCormick County,South Carolina,"8,868","9,934","10,233","9,410",-8.00%,-5.57%,5.76%
45067,Marion County,South Carolina,"33,899","35,475","33,062","31,039",-6.10%,-14.29%,-9.21%
45069,Marlboro County,South Carolina,"29,716","28,820","28,935","26,398",-8.80%,-9.17%,-12.57%
45071,Newberry County,South Carolina,"33,172","35,979","37,508","38,520",2.70%,6.60%,13.88%
45073,Oconee County,South Carolina,"57,494","66,199","74,275","78,374",5.50%,15.53%,26.64%
45075,Orangeburg County,South Carolina,"84,804","91,511","92,509","86,934",-6.00%,-5.26%,2.45%
45077,Pickens County,South Carolina,"93,896","110,755","119,373","124,937",4.70%,11.35%,24.85%
45079,Richland County,South Carolina,"286,321","320,836","384,450","414,576",7.80%,22.61%,30.94%
45081,Saluda County,South Carolina,"16,441","19,180","19,869","20,544",3.40%,6.64%,19.97%
45083,Spartanburg County,South Carolina,"226,793","253,957","284,317","313,888",10.40%,19.09%,27.75%
45085,Sumter County,South Carolina,"101,276","104,687","107,490","106,512",-0.90%,1.71%,4.92%
45087,Union County,South Carolina,"30,337","29,939","28,972","27,410",-5.40%,-9.23%,-10.68%
45089,Williamsburg County,South Carolina,"36,815","37,219","34,415","30,606",-11.10%,-21.61%,-20.29%
45091,York County,South Carolina,"131,497","164,656","226,046","274,118",21.30%,39.93%,52.03%
44001,Bristol County,Rhode Island,"48,859","50,653","49,847","48,649",-2.40%,-4.12%,-0.43%
44003,Kent County,Rhode Island,"161,143","167,220","166,113","163,861",-1.40%,-2.05%,1.66%
44005,Newport County,Rhode Island,"87,194","85,442","83,141","82,542",-0.70%,-3.51%,-5.64%
44007,Providence County,Rhode Island,"596,270","621,404","626,762","636,084",1.50%,2.31%,6.26%
44009,Washington County,Rhode Island,"109,998","123,540","127,094","126,179",-0.70%,2.09%,12.82%
42001,Adams County,Pennsylvania,"78,274","91,207","101,424","102,811",1.40%,11.29%,23.87%
42003,Allegheny County,Pennsylvania,"1,336,449","1,281,795","1,223,323","1,218,452",-0.40%,-5.20%,-9.68%
42005,Armstrong County,Pennsylvania,"73,478","72,345","68,944","65,263",-5.30%,-10.85%,-12.59%
42007,Beaver County,Pennsylvania,"186,093","181,448","170,549","164,742",-3.40%,-10.14%,-12.96%
42009,Bedford County,Pennsylvania,"47,919","49,890","49,763","48,176",-3.20%,-3.56%,0.53%
42011,Berks County,Pennsylvania,"336,523","373,712","411,556","420,152",2.10%,11.05%,19.90%
42013,Blair County,Pennsylvania,"130,542","129,105","127,116","122,492",-3.60%,-5.40%,-6.57%
42015,Bradford County,Pennsylvania,"60,967","62,747","62,704","60,833",-3.00%,-3.15%,-0.22%
42017,Bucks County,Pennsylvania,"541,174","597,548","625,266","628,195",0.50%,4.88%,13.85%
42019,Butler County,Pennsylvania,"152,013","174,105","183,856","187,888",2.20%,7.34%,19.09%
42021,Cambria County,Pennsylvania,"163,062","152,555","143,681","131,730",-8.30%,-15.81%,-23.79%
42023,Cameron County,Pennsylvania,"5,913","5,971","5,085","4,492",-11.70%,-32.93%,-31.63%
42025,Carbon County,Pennsylvania,"56,803","58,765","65,252","64,227",-1.60%,8.50%,11.56%
42027,Centre County,Pennsylvania,"124,812","135,678","154,001","162,805",5.70%,16.66%,23.34%
42029,Chester County,Pennsylvania,"376,389","433,208","499,133","522,046",4.60%,17.02%,27.90%
42031,Clarion County,Pennsylvania,"41,699","41,739","39,991","38,779",-3.00%,-7.63%,-7.53%
42033,Clearfield County,Pennsylvania,"78,097","83,529","81,616","79,388",-2.70%,-5.22%,1.63%
42035,Clinton County,Pennsylvania,"37,182","37,879","39,240","38,684",-1.40%,2.08%,3.88%
42037,Columbia County,Pennsylvania,"63,202","63,947","67,303","65,456",-2.70%,2.31%,3.44%
42039,Crawford County,Pennsylvania,"86,166","90,352","88,750","85,063",-4.20%,-6.22%,-1.30%
42041,Cumberland County,Pennsylvania,"195,257","213,605","235,405","251,423",6.80%,15.04%,22.34%
42043,Dauphin County,Pennsylvania,"237,813","251,770","268,123","277,097",3.30%,9.14%,14.18%
42045,Delaware County,Pennsylvania,"547,658","551,722","558,759","564,751",1.10%,2.31%,3.03%
42047,Elk County,Pennsylvania,"34,878","35,114","31,946","30,169",-5.60%,-16.39%,-15.61%
42049,Erie County,Pennsylvania,"275,575","280,907","280,584","272,061",-3.00%,-3.25%,-1.29%
42051,Fayette County,Pennsylvania,"145,351","148,536","136,595","130,441",-4.50%,-13.87%,-11.43%
42053,Forest County,Pennsylvania,"4,802","4,948","7,710","7,279",-5.60%,32.02%,34.03%
42055,Franklin County,Pennsylvania,"121,082","129,495","149,619","154,835",3.50%,16.37%,21.80%
42057,Fulton County,Pennsylvania,"13,837","14,259","14,844","14,523",-2.20%,1.82%,4.72%
42059,Greene County,Pennsylvania,"39,550","40,626","38,689","36,506",-5.60%,-11.29%,-8.34%
42061,Huntingdon County,Pennsylvania,"44,164","45,613","46,009","45,168",-1.80%,-0.99%,2.22%
42063,Indiana County,Pennsylvania,"89,994","89,593","88,889","84,501",-4.90%,-6.03%,-6.50%
42065,Jefferson County,Pennsylvania,"46,083","45,915","45,189","43,641",-3.40%,-5.21%,-5.60%
42067,Juniata County,Pennsylvania,"20,625","22,814","24,635","24,704",0.30%,7.65%,16.51%
42069,Lackawanna County,Pennsylvania,"219,097","213,292","214,439","210,793",-1.70%,-1.19%,-3.94%
42071,Lancaster County,Pennsylvania,"422,822","470,783","519,446","543,557",4.60%,13.39%,22.21%
42073,Lawrence County,Pennsylvania,"96,246","94,567","91,140","86,184",-5.40%,-9.73%,-11.68%
42075,Lebanon County,Pennsylvania,"113,744","120,202","133,577","141,314",5.80%,14.94%,19.51%
42077,Lehigh County,Pennsylvania,"291,130","311,746","349,676","368,100",5.30%,15.31%,20.91%
42079,Luzerne County,Pennsylvania,"328,149","319,429","320,895","317,646",-1.00%,-0.56%,-3.31%
42081,Lycoming County,Pennsylvania,"118,710","120,003","116,114","113,664",-2.10%,-5.58%,-4.44%
42083,McKean County,Pennsylvania,"47,131","45,908","43,459","40,968",-5.70%,-12.06%,-15.04%
42085,Mercer County,Pennsylvania,"121,003","120,368","116,668","110,683",-5.10%,-8.75%,-9.32%
42087,Mifflin County,Pennsylvania,"46,197","46,471","46,679","46,222",-1.00%,-0.54%,0.05%
42089,Monroe County,Pennsylvania,"95,681","138,615","169,832","169,507",-0.20%,18.22%,43.55%
42091,Montgomery County,Pennsylvania,"678,193","749,409","799,872","828,604",3.60%,9.56%,18.15%
42093,Montour County,Pennsylvania,"17,735","18,234","18,258","18,240",-0.10%,0.03%,2.77%
42095,Northampton County,Pennsylvania,"247,110","267,446","297,694","304,807",2.40%,12.26%,18.93%
42097,Northumberland County,Pennsylvania,"96,771","94,867","94,483","91,083",-3.60%,-4.15%,-6.24%
42099,Perry County,Pennsylvania,"41,172","43,636","45,940","46,139",0.40%,5.42%,10.77%
42101,Philadelphia County,Pennsylvania,"1,585,577","1,517,562","1,526,009","1,584,138",3.80%,4.20%,-0.09%
42103,Pike County,Pennsylvania,"28,032","46,125","57,346","55,933",-2.50%,17.54%,49.88%
42105,Potter County,Pennsylvania,"16,717","18,082","17,449","16,622",-4.70%,-8.78%,-0.57%
42107,Schuylkill County,Pennsylvania,"152,585","150,263","148,291","142,067",-4.20%,-5.77%,-7.40%
42109,Snyder County,Pennsylvania,"36,680","37,506","39,719","40,540",2.10%,7.48%,9.52%
42111,Somerset County,Pennsylvania,"78,218","80,047","77,737","73,952",-4.90%,-8.24%,-5.77%
42113,Sullivan County,Pennsylvania,"6,104","6,561","6,429","6,071",-5.60%,-8.07%,-0.54%
42115,Susquehanna County,Pennsylvania,"40,380","42,225","43,328","40,589",-6.30%,-4.03%,0.51%
42117,Tioga County,Pennsylvania,"41,126","41,346","41,902","40,763",-2.70%,-1.43%,-0.89%
42119,Union County,Pennsylvania,"36,176","41,583","44,963","44,785",-0.40%,7.15%,19.22%
42121,Venango County,Pennsylvania,"59,381","57,500","54,992","51,266",-6.80%,-12.16%,-15.83%
42123,Warren County,Pennsylvania,"45,050","43,784","41,811","39,498",-5.50%,-10.85%,-14.06%
42125,Washington County,Pennsylvania,"204,584","203,014","207,841","207,346",-0.20%,2.09%,1.33%
42127,Wayne County,Pennsylvania,"39,944","47,679","52,850","51,276",-3.00%,7.01%,22.10%
42129,Westmoreland County,Pennsylvania,"370,321","369,990","365,194","350,611",-4.00%,-5.53%,-5.62%
42131,Wyoming County,Pennsylvania,"28,076","28,072","28,283","27,046",-4.40%,-3.79%,-3.81%
42133,York County,Pennsylvania,"339,574","381,791","435,008","448,273",3%,14.83%,24.25%
41001,Baker County,Oregon,"15,317","16,742","16,131","16,006",-0.80%,-4.60%,4.30%
41003,Benton County,Oregon,"70,811","78,143","85,582","92,101",7.60%,15.16%,23.12%
41005,Clackamas County,Oregon,"278,850","338,407","375,996","416,075",10.70%,18.67%,32.98%
41007,Clatsop County,Oregon,"33,301","35,634","37,026","39,764",7.40%,10.39%,16.25%
41009,Columbia County,Oregon,"37,557","43,553","49,353","52,377",6.10%,16.85%,28.29%
41011,Coos County,Oregon,"60,273","62,795","63,054","64,389",2.10%,2.48%,6.39%
41013,Crook County,Oregon,"14,111","19,175","20,978","23,867",13.80%,19.66%,40.88%
41015,Curry County,Oregon,"19,327","21,147","22,365","22,813",2.00%,7.30%,15.28%
41017,Deschutes County,Oregon,"74,976","115,372","157,730","191,996",21.70%,39.91%,60.95%
41019,Douglas County,Oregon,"94,649","100,375","107,684","110,283",2.40%,8.98%,14.18%
41021,Gilliam County,Oregon,"1,717","1,910","1,873","1,894",1.10%,-0.84%,9.35%
41023,Grant County,Oregon,"7,853","7,934","7,444","7,176",-3.60%,-10.56%,-9.43%
41025,Harney County,Oregon,"7,060","7,606","7,422","7,329",-1.30%,-3.78%,3.67%
41027,Hood River County,Oregon,"16,903","20,407","22,346","23,428",4.80%,12.89%,27.85%
41029,Jackson County,Oregon,"146,387","181,281","203,205","219,564",8.10%,17.44%,33.33%
41031,Jefferson County,Oregon,"13,676","18,995","21,723","24,192",11.40%,21.48%,43.47%
41033,Josephine County,Oregon,"62,649","75,729","82,718","87,393",5.70%,13.35%,28.31%
41035,Klamath County,Oregon,"57,702","63,771","66,380","67,653",1.90%,5.74%,14.71%
41037,Lake County,Oregon,"7,186","7,421","7,885","7,879",-0.10%,5.81%,8.80%
41039,Lane County,Oregon,"282,912","323,011","351,704","379,611",7.90%,14.91%,25.47%
41041,Lincoln County,Oregon,"38,889","44,481","46,033","49,388",7.30%,9.94%,21.26%
41043,Linn County,Oregon,"91,227","103,079","116,676","127,335",9.10%,19.05%,28.36%
41045,Malheur County,Oregon,"26,038","31,618","31,316","30,725",-1.90%,-2.91%,15.25%
41047,Marion County,Oregon,"228,483","284,844","315,343","346,868",10.00%,17.88%,34.13%
41049,Morrow County,Oregon,"7,625","10,995","11,177","11,372",1.70%,3.32%,32.95%
41051,Multnomah County,Oregon,"583,887","660,602","735,148","811,880",10.40%,18.63%,28.08%
41053,Polk County,Oregon,"49,541","62,412","75,407","85,234",13.00%,26.78%,41.88%
41055,Sherman County,Oregon,"1,918","1,934","1,766","1,708",-3.30%,-13.23%,-12.30%
41057,Tillamook County,Oregon,"21,570","24,264","25,254","26,787",6.10%,9.42%,19.48%
41059,Umatilla County,Oregon,"59,249","70,556","75,885","77,516",2.10%,8.98%,23.57%
41061,Union County,Oregon,"23,598","24,522","25,744","26,461",2.80%,7.33%,10.82%
41063,Wallowa County,Oregon,"6,911","7,230","7,008","7,081",1.00%,-2.10%,2.40%
41065,Wasco County,Oregon,"21,683","23,797","25,211","26,505",5.10%,10.22%,18.19%
41067,Washington County,Oregon,"311,554","445,256","529,860","597,695",12.80%,25.50%,47.87%
41069,Wheeler County,Oregon,"1,396","1,551","1,439","1,366",-5.10%,-13.54%,-2.20%
41071,Yamhill County,Oregon,"65,551","84,975","99,209","107,002",7.90%,20.59%,38.74%
40001,Adair County,Oklahoma,"18,421","21,009","22,683","22,082",-2.60%,4.86%,16.58%
40003,Alfalfa County,Oklahoma,"6,416","6,092","5,640","5,754",2.00%,-5.87%,-11.51%
40005,Atoka County,Oklahoma,"12,778","13,876","14,165","13,838",-2.30%,-0.27%,7.66%
